trip_id,trip_pois
AGL_MonFri_0,"[('Menara Kuala Lumpur', 988.0197124784829), ('Titiwangsa Lake Gardens', 961.167695714178), ('Menara 106', 138.19421096470168), ('Sultan Abdul Samad Building', 1521.396280265428), ('Berjaya Times Square', 785.3080485794655), ('Petaling Street', 536.3875335296547), ('Titiwangsa Lake Gardens', 1062.846364740325), ('Istana Negara', 1932.236868414756), ('Berjaya Times Square', 1754.4110859434081), ('Sultan Abdul Samad Building', 1615.8971852790576), ('Berjaya Times Square', 433.67529806261985), ('Dataran Merdeka', 961.5912071169223), ('KL Forest Eco Park', 976.1005631410993), ('Pavilion Kuala Lumpur', 1277.754356777435), ('Menara 106', 1445.2134702972533), ('National Mosque', 958.3474637588133), ('Titiwangsa Lake Gardens', 1788.2778900139633), ('Menara Kuala Lumpur', 922.8180008624176), ('Pavilion Kuala Lumpur', 1298.5505046270364), ('Central Market', 1179.7736337533127), ('Changkat Bukit Bintang', 732.0033656313838), ('Sultan Abdul Samad Building', 374.92712341472975), ('Muzium Negara', 1740.1086360625336), ('Sultan Abdul Samad Building', 898.7235646819842), ('KLCC Twin Towers', 1996.1950020679399), ('Changkat Bukit Bintang', 804.5523789528348), ('National Mosque', 1392.8449234225309), ('Menara Kuala Lumpur', 1885.1056467747032), ('Menara 106', 600.6591640280338), ('Dataran Merdeka', 1637.0557054071976), ('Menara Kuala Lumpur', 1434.015915777864), ('Menara Kuala Lumpur', 1432.9140298008733), ('Titiwangsa Lake Gardens', 1638.1897229480546), ('Petaling Street', 1266.6023800877986), ('Petaling Street', 735.8576052038854), ('Berjaya Times Square', 1590.3012965293378), ('Petaling Street', 1858.0664444804522), ('Titiwangsa Lake Gardens', 1434.7868578081047), ('KL Forest Eco Park', 653.6305547384837), ('Changkat Bukit Bintang', 1775.9748896006256), ('Petaling Street', 1228.9520850057884), ('Central Market', 1365.757784939335), ('Berjaya Times Square', 904.5411831438118), ('KL Forest Eco Park', 1293.2097692790135), ('Menara 106', 1727.5090185161293), ('Central Market', 828.4497466801142), ('Dataran Merdeka', 1063.3534453233744), ('Dataran Merdeka', 451.55681111508716), ('Menara 106', 930.1741273937824), ('Central Market', 517.9302688772601), ('Aquaria KLCC', 1883.431323246807), ('Dataran Merdeka', 1579.9943103479359), ('KL Forest Eco Park', 768.7136629371568), ('National Mosque', 1603.4687129354347), ('Central Market', 1808.5848427678238), ('National Mosque', 1010.5336058691363), ('KL Forest Eco Park', 1936.318452416571), ('Menara Kuala Lumpur', 1090.3073940443164), ('Changkat Bukit Bintang', 1316.0857563023776), ('Pavilion Kuala Lumpur', 1781.3699932425907), ('KL Forest Eco Park', 1432.7218038832677), ('Muzium Negara', 1885.9893276283049), ('Pavilion Kuala Lumpur', 1628.5576192601397), ('Changkat Bukit Bintang', 1410.6339016494203), ('KLCC Twin Towers', 1900.805986618617), ('Sultan Abdul Samad Building', 1029.78484569403)]"
AGL_MonFri_1,"[('Titiwangsa Lake Gardens', 961.167695714178), ('Menara Kuala Lumpur', 988.0197124784829), ('Sultan Abdul Samad Building', 1521.396280265428), ('Menara 106', 138.19421096470168), ('Titiwangsa Lake Gardens', 1062.846364740325), ('Petaling Street', 536.3875335296547), ('Berjaya Times Square', 785.3080485794655), ('Istana Negara', 1932.236868414756), ('Berjaya Times Square', 1754.4110859434081), ('Sultan Abdul Samad Building', 1615.8971852790576), ('Titiwangsa Lake Gardens', 1788.2778900139633), ('Dataran Merdeka', 961.5912071169223), ('KL Forest Eco Park', 976.1005631410993), ('Menara 106', 1445.2134702972533), ('Berjaya Times Square', 433.67529806261985), ('National Mosque', 958.3474637588133), ('Pavilion Kuala Lumpur', 1277.754356777435), ('Sultan Abdul Samad Building', 1029.78484569403), ('Menara Kuala Lumpur', 922.8180008624176), ('Pavilion Kuala Lumpur', 1298.5505046270364), ('Central Market', 1179.7736337533127), ('Sultan Abdul Samad Building', 374.92712341472975), ('Sultan Abdul Samad Building', 898.7235646819842), ('KLCC Twin Towers', 1996.1950020679399), ('Muzium Negara', 1740.1086360625336), ('Changkat Bukit Bintang', 732.0033656313838), ('Changkat Bukit Bintang', 804.5523789528348), ('National Mosque', 1392.8449234225309), ('Menara Kuala Lumpur', 1885.1056467747032), ('Menara Kuala Lumpur', 1434.015915777864), ('Titiwangsa Lake Gardens', 1638.1897229480546), ('Menara 106', 600.6591640280338), ('Menara Kuala Lumpur', 1432.9140298008733), ('Dataran Merdeka', 1637.0557054071976), ('Petaling Street', 1266.6023800877986), ('Petaling Street', 735.8576052038854), ('Berjaya Times Square', 1590.3012965293378), ('Petaling Street', 1858.0664444804522), ('Titiwangsa Lake Gardens', 1434.7868578081047), ('KL Forest Eco Park', 653.6305547384837), ('Changkat Bukit Bintang', 1775.9748896006256), ('Petaling Street', 1228.9520850057884), ('Central Market', 1365.757784939335), ('Berjaya Times Square', 904.5411831438118), ('Central Market', 828.4497466801142), ('Dataran Merdeka', 451.55681111508716), ('Dataran Merdeka', 1063.3534453233744), ('KL Forest Eco Park', 1293.2097692790135), ('Central Market', 517.9302688772601), ('Menara 106', 930.1741273937824), ('Menara 106', 1727.5090185161293), ('Aquaria KLCC', 1883.431323246807), ('KL Forest Eco Park', 1936.318452416571), ('National Mosque', 1603.4687129354347), ('Central Market', 1808.5848427678238), ('KL Forest Eco Park', 768.7136629371568), ('National Mosque', 1010.5336058691363), ('Menara Kuala Lumpur', 1090.3073940443164), ('Changkat Bukit Bintang', 1316.0857563023776), ('Pavilion Kuala Lumpur', 1781.3699932425907), ('KL Forest Eco Park', 1432.7218038832677), ('Muzium Negara', 1885.9893276283049), ('Pavilion Kuala Lumpur', 1628.5576192601397), ('Changkat Bukit Bintang', 1410.6339016494203), ('KLCC Twin Towers', 1900.805986618617), ('Dataran Merdeka', 1579.9943103479359)]"
AGL_Sat_0,"[('Menara Kuala Lumpur', 988.0197124784829), ('Titiwangsa Lake Gardens', 961.167695714178), ('Menara 106', 138.19421096470168), ('Sultan Abdul Samad Building', 1521.396280265428), ('Berjaya Times Square', 785.3080485794655), ('Petaling Street', 536.3875335296547), ('Titiwangsa Lake Gardens', 1062.846364740325), ('Istana Negara', 1932.236868414756), ('Berjaya Times Square', 1754.4110859434081), ('Sultan Abdul Samad Building', 1615.8971852790576), ('Berjaya Times Square', 433.67529806261985), ('Dataran Merdeka', 961.5912071169223), ('KL Forest Eco Park', 976.1005631410993), ('Pavilion Kuala Lumpur', 1277.754356777435), ('Menara 106', 1445.2134702972533), ('National Mosque', 958.3474637588133), ('Titiwangsa Lake Gardens', 1788.2778900139633), ('Menara Kuala Lumpur', 922.8180008624176), ('Pavilion Kuala Lumpur', 1298.5505046270364), ('Central Market', 1179.7736337533127), ('Changkat Bukit Bintang', 732.0033656313838), ('Sultan Abdul Samad Building', 374.92712341472975), ('Muzium Negara', 1740.1086360625336), ('Sultan Abdul Samad Building', 898.7235646819842), ('KLCC Twin Towers', 1996.1950020679399), ('Changkat Bukit Bintang', 804.5523789528348), ('National Mosque', 1392.8449234225309), ('Menara Kuala Lumpur', 1885.1056467747032), ('Menara 106', 600.6591640280338), ('Dataran Merdeka', 1637.0557054071976), ('Menara Kuala Lumpur', 1434.015915777864), ('Menara Kuala Lumpur', 1432.9140298008733), ('Titiwangsa Lake Gardens', 1638.1897229480546), ('Petaling Street', 1266.6023800877986), ('Petaling Street', 735.8576052038854), ('Berjaya Times Square', 1590.3012965293378), ('Petaling Street', 1858.0664444804522), ('Titiwangsa Lake Gardens', 1434.7868578081047), ('KL Forest Eco Park', 653.6305547384837), ('Changkat Bukit Bintang', 1775.9748896006256), ('Petaling Street', 1228.9520850057884), ('Central Market', 1365.757784939335), ('Berjaya Times Square', 904.5411831438118), ('KL Forest Eco Park', 1293.2097692790135), ('Menara 106', 1727.5090185161293), ('Central Market', 828.4497466801142), ('Dataran Merdeka', 1063.3534453233744), ('Dataran Merdeka', 451.55681111508716), ('Menara 106', 930.1741273937824), ('Central Market', 517.9302688772601), ('Aquaria KLCC', 1883.431323246807), ('Dataran Merdeka', 1579.9943103479359), ('KL Forest Eco Park', 768.7136629371568), ('National Mosque', 1603.4687129354347), ('Central Market', 1808.5848427678238), ('National Mosque', 1010.5336058691363), ('KL Forest Eco Park', 1936.318452416571), ('Menara Kuala Lumpur', 1090.3073940443164), ('Changkat Bukit Bintang', 1316.0857563023776), ('Pavilion Kuala Lumpur', 1781.3699932425907), ('KL Forest Eco Park', 1432.7218038832677), ('Muzium Negara', 1885.9893276283049), ('Pavilion Kuala Lumpur', 1628.5576192601397), ('Changkat Bukit Bintang', 1410.6339016494203), ('KLCC Twin Towers', 1900.805986618617), ('Sultan Abdul Samad Building', 1029.78484569403)]"
AGL_Sat_1,"[('Titiwangsa Lake Gardens', 961.167695714178), ('Menara Kuala Lumpur', 988.0197124784829), ('Sultan Abdul Samad Building', 1521.396280265428), ('Menara 106', 138.19421096470168), ('Titiwangsa Lake Gardens', 1062.846364740325), ('Petaling Street', 536.3875335296547), ('Berjaya Times Square', 785.3080485794655), ('Istana Negara', 1932.236868414756), ('Berjaya Times Square', 1754.4110859434081), ('Sultan Abdul Samad Building', 1615.8971852790576), ('Titiwangsa Lake Gardens', 1788.2778900139633), ('Dataran Merdeka', 961.5912071169223), ('KL Forest Eco Park', 976.1005631410993), ('Menara 106', 1445.2134702972533), ('Berjaya Times Square', 433.67529806261985), ('National Mosque', 958.3474637588133), ('Pavilion Kuala Lumpur', 1277.754356777435), ('Sultan Abdul Samad Building', 1029.78484569403), ('Menara Kuala Lumpur', 922.8180008624176), ('Pavilion Kuala Lumpur', 1298.5505046270364), ('Central Market', 1179.7736337533127), ('Sultan Abdul Samad Building', 374.92712341472975), ('Sultan Abdul Samad Building', 898.7235646819842), ('KLCC Twin Towers', 1996.1950020679399), ('Muzium Negara', 1740.1086360625336), ('Changkat Bukit Bintang', 732.0033656313838), ('Changkat Bukit Bintang', 804.5523789528348), ('National Mosque', 1392.8449234225309), ('Menara Kuala Lumpur', 1885.1056467747032), ('Menara Kuala Lumpur', 1434.015915777864), ('Titiwangsa Lake Gardens', 1638.1897229480546), ('Menara 106', 600.6591640280338), ('Menara Kuala Lumpur', 1432.9140298008733), ('Dataran Merdeka', 1637.0557054071976), ('Petaling Street', 1266.6023800877986), ('Petaling Street', 735.8576052038854), ('Berjaya Times Square', 1590.3012965293378), ('Petaling Street', 1858.0664444804522), ('Titiwangsa Lake Gardens', 1434.7868578081047), ('KL Forest Eco Park', 653.6305547384837), ('Changkat Bukit Bintang', 1775.9748896006256), ('Petaling Street', 1228.9520850057884), ('Central Market', 1365.757784939335), ('Berjaya Times Square', 904.5411831438118), ('Central Market', 828.4497466801142), ('Dataran Merdeka', 451.55681111508716), ('Dataran Merdeka', 1063.3534453233744), ('KL Forest Eco Park', 1293.2097692790135), ('Central Market', 517.9302688772601), ('Menara 106', 930.1741273937824), ('Menara 106', 1727.5090185161293), ('Aquaria KLCC', 1883.431323246807), ('KL Forest Eco Park', 1936.318452416571), ('National Mosque', 1603.4687129354347), ('Central Market', 1808.5848427678238), ('KL Forest Eco Park', 768.7136629371568), ('National Mosque', 1010.5336058691363), ('Menara Kuala Lumpur', 1090.3073940443164), ('Changkat Bukit Bintang', 1316.0857563023776), ('Pavilion Kuala Lumpur', 1781.3699932425907), ('KL Forest Eco Park', 1432.7218038832677), ('Muzium Negara', 1885.9893276283049), ('Pavilion Kuala Lumpur', 1628.5576192601397), ('Changkat Bukit Bintang', 1410.6339016494203), ('KLCC Twin Towers', 1900.805986618617), ('Dataran Merdeka', 1579.9943103479359)]"
AGL_Sun_0,"[('Menara Kuala Lumpur', 988.0197124784829), ('Titiwangsa Lake Gardens', 961.167695714178), ('Menara 106', 138.19421096470168), ('Sultan Abdul Samad Building', 1521.396280265428), ('Berjaya Times Square', 785.3080485794655), ('Petaling Street', 536.3875335296547), ('Titiwangsa Lake Gardens', 1062.846364740325), ('Istana Negara', 1932.236868414756), ('Berjaya Times Square', 1754.4110859434081), ('Sultan Abdul Samad Building', 1615.8971852790576), ('Berjaya Times Square', 433.67529806261985), ('Dataran Merdeka', 961.5912071169223), ('KL Forest Eco Park', 976.1005631410993), ('Pavilion Kuala Lumpur', 1277.754356777435), ('Menara 106', 1445.2134702972533), ('National Mosque', 958.3474637588133), ('Titiwangsa Lake Gardens', 1788.2778900139633), ('Menara Kuala Lumpur', 922.8180008624176), ('Pavilion Kuala Lumpur', 1298.5505046270364), ('Central Market', 1179.7736337533127), ('Changkat Bukit Bintang', 732.0033656313838), ('Sultan Abdul Samad Building', 374.92712341472975), ('Muzium Negara', 1740.1086360625336), ('Sultan Abdul Samad Building', 898.7235646819842), ('KLCC Twin Towers', 1996.1950020679399), ('Changkat Bukit Bintang', 804.5523789528348), ('National Mosque', 1392.8449234225309), ('Menara Kuala Lumpur', 1885.1056467747032), ('Menara 106', 600.6591640280338), ('Dataran Merdeka', 1637.0557054071976), ('Menara Kuala Lumpur', 1434.015915777864), ('Menara Kuala Lumpur', 1432.9140298008733), ('Titiwangsa Lake Gardens', 1638.1897229480546), ('Petaling Street', 1266.6023800877986), ('Petaling Street', 735.8576052038854), ('Berjaya Times Square', 1590.3012965293378), ('Petaling Street', 1858.0664444804522), ('Titiwangsa Lake Gardens', 1434.7868578081047), ('KL Forest Eco Park', 653.6305547384837), ('Changkat Bukit Bintang', 1775.9748896006256), ('Petaling Street', 1228.9520850057884), ('Central Market', 1365.757784939335), ('Berjaya Times Square', 904.5411831438118), ('KL Forest Eco Park', 1293.2097692790135), ('Menara 106', 1727.5090185161293), ('Central Market', 828.4497466801142), ('Dataran Merdeka', 1063.3534453233744), ('Dataran Merdeka', 451.55681111508716), ('Menara 106', 930.1741273937824), ('Central Market', 517.9302688772601), ('Aquaria KLCC', 1883.431323246807), ('Dataran Merdeka', 1579.9943103479359), ('KL Forest Eco Park', 768.7136629371568), ('National Mosque', 1603.4687129354347), ('Central Market', 1808.5848427678238), ('National Mosque', 1010.5336058691363), ('KL Forest Eco Park', 1936.318452416571), ('Menara Kuala Lumpur', 1090.3073940443164), ('Changkat Bukit Bintang', 1316.0857563023776), ('Pavilion Kuala Lumpur', 1781.3699932425907), ('KL Forest Eco Park', 1432.7218038832677), ('Muzium Negara', 1885.9893276283049), ('Pavilion Kuala Lumpur', 1628.5576192601397), ('Changkat Bukit Bintang', 1410.6339016494203), ('KLCC Twin Towers', 1900.805986618617), ('Sultan Abdul Samad Building', 1029.78484569403)]"
AGL_Sun_1,"[('Titiwangsa Lake Gardens', 961.167695714178), ('Menara Kuala Lumpur', 988.0197124784829), ('Sultan Abdul Samad Building', 1521.396280265428), ('Menara 106', 138.19421096470168), ('Titiwangsa Lake Gardens', 1062.846364740325), ('Petaling Street', 536.3875335296547), ('Berjaya Times Square', 785.3080485794655), ('Istana Negara', 1932.236868414756), ('Berjaya Times Square', 1754.4110859434081), ('Sultan Abdul Samad Building', 1615.8971852790576), ('Titiwangsa Lake Gardens', 1788.2778900139633), ('Dataran Merdeka', 961.5912071169223), ('KL Forest Eco Park', 976.1005631410993), ('Menara 106', 1445.2134702972533), ('Berjaya Times Square', 433.67529806261985), ('National Mosque', 958.3474637588133), ('Pavilion Kuala Lumpur', 1277.754356777435), ('Sultan Abdul Samad Building', 1029.78484569403), ('Menara Kuala Lumpur', 922.8180008624176), ('Pavilion Kuala Lumpur', 1298.5505046270364), ('Central Market', 1179.7736337533127), ('Sultan Abdul Samad Building', 374.92712341472975), ('Sultan Abdul Samad Building', 898.7235646819842), ('KLCC Twin Towers', 1996.1950020679399), ('Muzium Negara', 1740.1086360625336), ('Changkat Bukit Bintang', 732.0033656313838), ('Changkat Bukit Bintang', 804.5523789528348), ('National Mosque', 1392.8449234225309), ('Menara Kuala Lumpur', 1885.1056467747032), ('Menara Kuala Lumpur', 1434.015915777864), ('Titiwangsa Lake Gardens', 1638.1897229480546), ('Menara 106', 600.6591640280338), ('Menara Kuala Lumpur', 1432.9140298008733), ('Dataran Merdeka', 1637.0557054071976), ('Petaling Street', 1266.6023800877986), ('Petaling Street', 735.8576052038854), ('Berjaya Times Square', 1590.3012965293378), ('Petaling Street', 1858.0664444804522), ('Titiwangsa Lake Gardens', 1434.7868578081047), ('KL Forest Eco Park', 653.6305547384837), ('Changkat Bukit Bintang', 1775.9748896006256), ('Petaling Street', 1228.9520850057884), ('Central Market', 1365.757784939335), ('Berjaya Times Square', 904.5411831438118), ('Central Market', 828.4497466801142), ('Dataran Merdeka', 451.55681111508716), ('Dataran Merdeka', 1063.3534453233744), ('KL Forest Eco Park', 1293.2097692790135), ('Central Market', 517.9302688772601), ('Menara 106', 930.1741273937824), ('Menara 106', 1727.5090185161293), ('Aquaria KLCC', 1883.431323246807), ('KL Forest Eco Park', 1936.318452416571), ('National Mosque', 1603.4687129354347), ('Central Market', 1808.5848427678238), ('KL Forest Eco Park', 768.7136629371568), ('National Mosque', 1010.5336058691363), ('Menara Kuala Lumpur', 1090.3073940443164), ('Changkat Bukit Bintang', 1316.0857563023776), ('Pavilion Kuala Lumpur', 1781.3699932425907), ('KL Forest Eco Park', 1432.7218038832677), ('Muzium Negara', 1885.9893276283049), ('Pavilion Kuala Lumpur', 1628.5576192601397), ('Changkat Bukit Bintang', 1410.6339016494203), ('KLCC Twin Towers', 1900.805986618617), ('Dataran Merdeka', 1579.9943103479359)]"
BRT_MonFri_0,"[('Sunway Lagoon', 1032.7515305556676), ('Sunway Lagoon', 489.48202659259766), ('Sunway Lagoon', 839.8106942085848), ('Sunway Lagoon', 1233.4555787929803), ('Sunway Lagoon', 1679.8300051880226), ('Sunway Lagoon', 486.05780920167797)]"
BRT_MonFri_1,"[('Sunway Lagoon', 1032.7515305556676), ('Sunway Lagoon', 489.48202659259766), ('Sunway Lagoon', 839.8106942085848), ('Sunway Lagoon', 1233.4555787929803), ('Sunway Lagoon', 1679.8300051880226), ('Sunway Lagoon', 486.05780920167797)]"
BRT_Sat_0,"[('Sunway Lagoon', 1032.7515305556676), ('Sunway Lagoon', 489.48202659259766), ('Sunway Lagoon', 839.8106942085848), ('Sunway Lagoon', 1233.4555787929803), ('Sunway Lagoon', 1679.8300051880226), ('Sunway Lagoon', 486.05780920167797)]"
BRT_Sat_1,"[('Sunway Lagoon', 1032.7515305556676), ('Sunway Lagoon', 489.48202659259766), ('Sunway Lagoon', 839.8106942085848), ('Sunway Lagoon', 1233.4555787929803), ('Sunway Lagoon', 1679.8300051880226), ('Sunway Lagoon', 486.05780920167797)]"
